theme,program,cflags,status,time_seconds,result,stage,exit_code,reason
Computer Graphics,ray_tracing_simple,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computer Graphics,fluid_simulation_grid_2d,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computer Graphics,perlin_noise_generation_3d,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computer Graphics,bidirectional_path_tracing,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computer Graphics,fractal_landscape_generation,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computer Graphics,smoke_simulation_particles,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computer Graphics,volume_ray_marching,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computer Graphics,path_tracing,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computer Graphics,ambient_occlusion_ray_casting,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computer Graphics,rigid_body_physics_simulation,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computer Graphics,mesh_simplification_qem,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computer Graphics,rasterize_triangles,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computer Graphics,photon_mapping,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computer Graphics,cloth_simulation_mass_spring,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computer Graphics,soft_body_physics_simulation,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computer Graphics,mesh_subdivision_loop,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computer Graphics,gaussian_blur_filter,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computer Graphics,fluid_simulation_grid_3d,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computer Graphics,tessellation_shader,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computer Graphics,fragment_shader_mandelbrot,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computer Graphics,marching_cubes_isosurface_extraction,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computer Graphics,vertex_shader_skinning,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computer Graphics,bloom_effect_processing,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Geometry,visibility_graph_construction,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Geometry,jarvis_march_convex_hull_2d,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Geometry,build_kd_tree,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Geometry,rotating_calipers_find_diameter,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Geometry,largest_empty_circle_in_points,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Geometry,build_r_tree,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Geometry,point_in_polygon_test,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Geometry,minkowski_sum_convex_polygons,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Geometry,delaunay_triangulation_bowyer_watson,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Geometry,polygon_area_shoelace,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Geometry,closest_pair_of_points_dc,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Geometry,graham_scan_convex_hull_2d,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Geometry,shortest_path_in_polygon,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Geometry,voronoi_diagram_fortunes_algorithm,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Geometry,find_all_intersecting_rectangles,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Geometry,bentley_ottmann_line_intersections,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Geometry,quickhull_3d,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Geometry,kd_tree_range_search,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Geometry,monotone_chain_convex_hull_2d,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Geometry,polygon_triangulation_ear_clipping,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Arithmetic,compute_e_digits,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Arithmetic,rational_arithmetic,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Arithmetic,bignum_multiplication_karatsuba,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Arithmetic,bignum_division,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Arithmetic,continued_fraction_expansion,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Arithmetic,complex_number_operations,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Arithmetic,sqrt_newton_iteration,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Arithmetic,compute_pi_digits_spigot,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Arithmetic,quaternion_multiplication,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Arithmetic,interval_arithmetic,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Arithmetic,bignum_addition,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Computational Arithmetic,bignum_modular_reduction,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,kruskal_mst,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,find_shortest_cycle,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,topological_sort_dfs,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,betweenness_centrality_calc,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,breadth_first_search,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,find_articulation_points,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,bellman_ford_shortest_path,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,push_relabel_max_flow,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,topological_sort_iterative,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,detect_cycle_directed_graph,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,depth_first_search,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,topological_sort_kahn,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,dijkstra_shortest_path,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,greedy_graph_coloring,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,find_eulerian_circuit,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,degree_centrality_calc,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,bron_kerbosch_clique_enum,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,graph_diameter_calc,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,johnson_all_pairs_shortest_path,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,floyd_warshall_all_pairs_shortest_path,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,kosaraju_scc,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,prim_mst,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,hopcroft_karp_bipartite_matching,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,detect_cycle_undirected_graph,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,find_connected_components,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,closeness_centrality_calc,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,find_bridges,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,dinic_max_flow,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,a_star_search,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,tarjan_scc,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,edmonds_karp_max_flow,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Graph Algorithms,blossom_algorithm_general_matching,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Bit Manipulation And Low-Level Ops,hamming_distance_batch,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Bit Manipulation And Low-Level Ops,bitwise_crc32_computation,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Bit Manipulation And Low-Level Ops,gray_code_generation,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Bit Manipulation And Low-Level Ops,bitwise_sieve,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Bit Manipulation And Low-Level Ops,bit_matrix_transpose,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Bit Manipulation And Low-Level Ops,bitwise_population_count,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Data Compression,run_length_encoding_decompress,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Data Compression,delta_encoding_decompress,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Data Compression,inverse_move_to_front_transform,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Data Compression,lzw_compress,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Data Compression,move_to_front_transform,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Data Compression,lz77_compress,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Data Compression,delta_encoding_compress,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Data Compression,run_length_encoding_compress,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Data Compression,lzw_decompress,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Data Compression,burrows_wheeler_transform,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Data Compression,inverse_burrows_wheeler_transform,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Data Compression,arithmetic_coding_decompress,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Data Compression,huffman_compress,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Data Compression,lzss_compress,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Data Compression,deflate_like_compress_pipeline,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Data Compression,huffman_decompress,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Data Compression,bzip2_like_compress_pipeline,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Data Compression,arithmetic_coding_compress,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Numerical Optimization,coordinate_descent,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Numerical Optimization,brent_method,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Numerical Optimization,golden_section_search,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Numerical Optimization,pattern_search,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Numerical Optimization,trust_region_method,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Numerical Optimization,levenberg_marquardt,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Numerical Optimization,grid_search,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Numerical Optimization,parabolic_interpolation,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
Numerical Optimization,fibonacci_search,-fsanitize=undefined,SUCCESS,,Sanitizer run completed without errors.,,,
